party_number,candidate_number,total_votes
1,101,4635
1,102,2058
1,103,966
1,104,684
1,105,474
1,106,316
1,107,290
1,108,223
1,109,89
1,110,122
1,111,153
1,112,81
1,113,169
1,114,42
1,115,17
1,116,4
1,Без,11940
2,101,2121
2,102,606
2,103,238
2,104,119
2,105,133
2,106,52
2,107,56
2,108,62
2,109,35
2,110,5
2,111,25
2,112,12
2,113,11
2,Без,5700
3,101,3623
3,102,700
3,103,1079
3,104,362
3,105,411
3,106,241
3,107,223
3,108,232
3,109,108
3,110,65
3,111,108
3,112,80
3,113,48
3,114,45
3,115,36
3,116,36
3,117,52
3,118,18
3,119,63
3,120,33
3,121,27
3,122,30
3,123,13
3,124,15
3,125,5
3,126,22
3,127,5
3,128,9
3,129,2
3,130,1
3,131,2
3,132,7
3,133,3
3,134,1
3,135,1
3,136,3
3,137,7
3,Без,10131
4,101,18321
4,102,4850
4,103,3165
4,104,3912
4,105,1969
4,106,1054
4,107,1501
4,108,1361
4,109,507
4,110,479
4,111,777
4,112,376
4,113,359
4,114,204
4,115,20
4,116,50
4,Без,58768
5,101,15825
5,102,5732
5,103,4204
5,104,2426
5,105,3289
5,106,1749
5,107,1386
5,108,1393
5,109,642
5,110,679
5,111,1294
5,112,619
5,113,371
5,114,317
5,115,423
5,116,386
5,117,199
5,118,152
5,119,186
5,120,156
5,121,235
5,122,269
5,123,102
5,124,74
5,125,62
5,126,123
5,127,149
5,128,154
5,129,23
5,130,24
5,131,21
5,132,49
5,133,27
5,Без,53257
6,101,573
6,102,345
6,103,134
6,104,56
6,105,4
6,106,6
6,107,9
6,Без,2993
7,101,50935
7,102,21173
7,103,19695
7,104,10019
7,105,19861
7,106,13626
7,107,7234
7,108,7064
7,109,2350
7,110,9963
7,111,4581
7,112,1768
7,113,2306
7,114,2946
7,115,1129
7,116,1926
7,117,1269
7,118,488
7,119,947
7,120,954
7,121,488
7,122,367
7,123,1855
7,124,582
7,125,668
7,126,214
7,127,208
7,128,179
7,129,130
7,130,369
7,131,230
7,132,188
7,133,103
7,134,28
7,135,71
7,136,64
7,137,24
7,138,121
7,Без,180090
8,101,22118
8,102,5323
8,103,3612
8,104,2237
8,105,2135
8,106,1265
8,107,1587
8,108,3005
8,109,871
8,110,739
8,111,1286
8,112,775
8,113,744
8,114,681
8,115,428
8,116,313
8,117,138
8,118,180
8,119,188
8,120,78
8,121,104
8,122,192
8,123,44
8,124,71
8,125,27
8,126,46
8,127,47
8,128,43
8,129,43
8,130,14
8,131,211
8,Без,79604
9,101,527
9,102,199
9,103,64
9,104,24
9,105,16
9,106,6
9,107,6
9,108,11
9,109,9
9,110,2
9,111,6
9,112,2
9,113,2
9,114,1
9,115,2
9,116,5
9,Без,3197
10,101,1838
10,102,661
10,103,197
10,104,94
10,105,52
10,106,14
10,107,29
10,Без,6160
11,101,3714
11,102,2310
